Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,505393,-,-,-,49.13,6.18,1,171,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Wind Direction,Wind Speed,Precipitable Water,Solar Zenith Angle,Surface Albedo,Pressure,Relative Humidity,Ozone,GHI,DHI,DNI,Fill Flag,Dew Point,Cloud Type,Clearsky GHI
2019,1,1,0,0,-0.6000000000000001,0,0,106,1.4000000000000001,0.7000000000000001,152.86,0.13,1012,100,0.307,0,0,0,0,-0.6000000000000001,1,0
2019,1,1,0,15,-0.6000000000000001,0,0,106,1.4000000000000001,0.7000000000000001,153.53,0.13,1012,100,0.307,0,0,0,0,-0.6000000000000001,1,0
2019,1,1,0,30,-0.6000000000000001,0,0,106,1.4000000000000001,0.7000000000000001,153.88,0.13,1012,100,0.307,0,0,0,0,-0.6000000000000001,1,0
2019,1,1,0,45,-0.6000000000000001,0,0,106,1.4000000000000001,0.7000000000000001,153.9,0.13,1012,100,0.307,0,0,0,0,-0.6000000000000001,1,0
2019,1,1,1,0,1.7000000000000002,0,0,272,0.7000000000000001,0.8,153.57,0.13,1012,98.75,0.277,0,0,0,0,1.5,8,0
2019,1,1,1,15,1.6,0,0,269,0.7000000000000001,0.8,152.93,0.13,1012,99.46000000000001,0.277,0,0,0,0,1.5,1,0
2019,1,1,1,30,1.5,0,0,266,0.8,0.8,152,0.13,1012,100,0.277,0,0,0,0,1.5,1,0
2019,1,1,1,45,1.5,0,0,263,0.9,0.8,150.8,0.13,1012,97.95,0.277,0,0,0,0,1.2000000000000002,0,0
2019,1,1,2,0,1.4000000000000001,0,0,260,0.9,0.8,149.36,0.13,1012,98.65,0.278,0,0,0,0,1.2000000000000002,1,0
2019,1,1,2,15,1.4000000000000001,0,0,259,1,0.8,147.72,0.13,1012,98.65,0.278,0,0,0,0,1.2000000000000002,2,0
2019,1,1,2,30,1.4000000000000001,0,0,258,1.1,0.8,145.92000000000002,0.13,1012,98.65,0.278,0,0,0,0,1.2000000000000002,2,0
2019,1,1,2,45,1.3,0,0,256,1.2000000000000002,0.8,143.97,0.13,1012,97.92,0.278,0,0,0,0,1,1,0
2019,1,1,3,0,1.3,0,0,255,1.2000000000000002,0.8,141.9,0.13,1012,97.92,0.279,0,0,0,0,1,1,0
2019,1,1,3,15,1.3,0,0,254,1.3,0.8,139.74,0.13,1012,97.92,0.279,0,0,0,0,1,1,0
2019,1,1,3,30,1.3,0,0,253,1.5,0.8,137.5,0.13,1012,97.92,0.279,0,0,0,0,1,4,0
2019,1,1,3,45,1.3,0,0,252,1.6,0.8,135.19,0.13,1011,96.85000000000001,0.279,0,0,0,0,0.9,4,0
2019,1,1,4,0,1.3,0,0,251,1.7000000000000002,0.8,132.84,0.13,1011,96.85000000000001,0.279,0,0,0,0,0.9,1,0
2019,1,1,4,15,1.3,0,0,251,1.8,0.8,130.45,0.13,1011,96.85000000000001,0.279,0,0,0,0,0.9,3,0
2019,1,1,4,30,1.3,0,0,251,1.9000000000000001,0.8,128.04,0.13,1011,96.85000000000001,0.279,0,0,0,0,0.9,0,0
2019,1,1,4,45,1.3,0,0,251,2,0.8,125.60000000000001,0.13,1011,97.02,0.28,0,0,0,0,0.9,0,0
2019,1,1,5,0,1.4000000000000001,0,0,251,2.1,0.8,123.15,0.13,1011,96.33,0.28,0,0,0,0,0.9,1,0
2019,1,1,5,15,1.4000000000000001,0,0,252,2.1,0.8,120.7,0.13,1011,96.33,0.28,0,0,0,0,0.9,4,0
2019,1,1,5,30,1.5,0,0,254,2.1,0.8,118.25,0.13,1011,95.64,0.28,0,0,0,0,0.9,4,0
2019,1,1,5,45,1.5,0,0,255,2.2,0.9,115.8,0.13,1010,97.36,0.281,0,0,0,0,1.1,1,0
2019,1,1,6,0,1.6,0,0,257,2.2,0.9,113.37,0.13,1010,96.67,0.281,0,0,0,0,1.1,4,0
2019,1,1,6,15,1.7000000000000002,0,0,259,2.2,0.9,110.95,0.13,1010,95.98,0.281,0,0,0,0,1.1,7,0
2019,1,1,6,30,1.8,0,0,262,2.2,0.9,108.56,0.13,1010,95.3,0.28200000000000003,0,0,0,0,1.1,8,0
2019,1,1,6,45,1.9000000000000001,0,0,264,2.2,0.9,106.2,0.13,1010,98.34,0.28200000000000003,0,0,0,0,1.7000000000000002,4,0
